RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Difference,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Difference,Assets_Match_Status,Overall_Match_Status
2067237,2067237,99424000.00,99424000,0,MATCH,33419000.00,30909000,2510000,MISMATCH,MISMATCH
2592433,2592433,8554000.00,14189000,5635000,MISMATCH,4381000.00,4381000,0,MATCH,MISMATCH
2706230,2706230,78055000.00,147822000,69767000,MISMATCH,163187000.00,163187000,0,MATCH,MISMATCH
2716985,2716985,8665000.00,20899000,12234000,MISMATCH,70173000.00,70173000,0,MATCH,MISMATCH
2721351,2721351,87132000.00,84262000,2870000,MISMATCH,918940000.00,918940000,0,MATCH,MISMATCH
2722759,2722759,7396000.00,7396000,0,MATCH,9808000.00,10275000,467000,MISMATCH,MISMATCH
2724510,2724510,649000.00,649000,0,MATCH,1765000.00,1762000,3000,MISMATCH,MISMATCH
2725409,2725409,2091000.00,1769000,322000,MISMATCH,1651000.00,1541000,110000,MISMATCH,MISMATCH
2726289,2726289,727000.00,727000,0,MATCH,5447000.00,12227000,6780000,MISMATCH,MISMATCH
2727037,2727037,78949000.00,160189000,81240000,MISMATCH,2758960000.00,2758960000,0,MATCH,MISMATCH
2727801,2727801,23776000.00,22392000,1384000,MISMATCH,590076000.00,590076000,0,MATCH,MISMATCH
2728770,2728770,1647000000.00,1312000000,335000000,MISMATCH,3188000000.00,3188000000,0,MATCH,MISMATCH
2730756,2730756,21801000.00,20428000,1373000,MISMATCH,9206000.00,10380000,1174000,MISMATCH,MISMATCH
2731685,2731685,8260000.00,10946000,2686000,MISMATCH,11700000.00,11605000,95000,MISMATCH,MISMATCH
2731814,2731814,8792000.00,6346000,2446000,MISMATCH,94757000.00,94757000,0,MATCH,MISMATCH
2732187,2732187,233815240.43,230267227.237277,3548013.192723006,MISMATCH,5640879409.16,5635213754.89678,5665654.263219833,MISMATCH,MISMATCH
2733439,2733439,701000.00,701000,0,MATCH,1934000.00,1843000,91000,MISMATCH,MISMATCH
2735363,2735363,772000.00,1296000,524000,MISMATCH,21252000.00,21252000,0,MATCH,MISMATCH
2735550,2735550,4896000.00,3213000,1683000,MISMATCH,20398000.00,20398000,0,MATCH,MISMATCH
2737291,2737291,8826125.33,18900000,10073874.67,MISMATCH,19952218.11,693000000,673047781.89,MISMATCH,MISMATCH
2737643,2737643,3912000.00,3912000,0,MATCH,6725000.00,13711000,6986000,MISMATCH,MISMATCH
2737913,2737913,250000000.00,1002497000,752497000,MISMATCH,782102000.00,886748000,104646000,MISMATCH,MISMATCH
2737926,2737926,4269000.00,10510000,6241000,MISMATCH,63688000.00,176599000,112911000,MISMATCH,MISMATCH
2738182,2738182,98634000.00,92732000,5902000,MISMATCH,55889000.00,45602000,10287000,MISMATCH,MISMATCH
2738291,2738291,15760000.00,11851000,3909000,MISMATCH,6034000.00,5102000,932000,MISMATCH,MISMATCH
2738533,2738533,71014000.00,51719000,19295000,MISMATCH,26762000.00,22868000,3894000,MISMATCH,MISMATCH
2738655,2738655,10618000.00,10618000,0,MATCH,12801000.00,11537000,1264000,MISMATCH,MISMATCH
2739145,2739145,4510000.00,4510000,0,MATCH,8668000.00,12408000,3740000,MISMATCH,MISMATCH
2739437,2739437,7760000.00,4362000,3398000,MISMATCH,5931000.00,10374000,4443000,MISMATCH,MISMATCH
2739701,2739701,841000.00,2430000,1589000,MISMATCH,636000.00,1298000,662000,MISMATCH,MISMATCH
2739874,2739874,26259000.00,24827000,1432000,MISMATCH,9799000.00,11375000,1576000,MISMATCH,MISMATCH
2740434,2740434,648000.00,648000,0,MATCH,4741000.00,4722000,19000,MISMATCH,MISMATCH
2740623,2740623,8750000.00,16999000,8249000,MISMATCH,4213000.00,4213000,0,MATCH,MISMATCH
2741744,2741744,15968000.00,15504000,464000,MISMATCH,9976000.00,9976000,0,MATCH,MISMATCH
2741940,2741940,14551000.00,12564000,1987000,MISMATCH,8769000.00,8769000,0,MATCH,MISMATCH
2742075,2742075,1309000.00,1309000,0,MATCH,864000.00,1120000,256000,MISMATCH,MISMATCH
2742089,2742089,976000.00,1165000,189000,MISMATCH,884000.00,2372000,1488000,MISMATCH,MISMATCH
2742476,2742476,2569000.00,2569000,0,MATCH,639000.00,2398000,1759000,MISMATCH,MISMATCH
2742497,2742497,56874000.00,13204000,43670000,MISMATCH,725616000.00,580009000,145607000,MISMATCH,MISMATCH
2742965,2742965,399165000.00,399165000,0,MATCH,15077687000.00,13603681000,1474006000,MISMATCH,MISMATCH
2743186,2743186,3242051000.00,3242051000,0,MATCH,9510979000.00,8830793000,680186000,MISMATCH,MISMATCH
2743302,2743302,171911000.00,171911000,0,MATCH,4992547000.00,3529208000,1463339000,MISMATCH,MISMATCH
2743405,2743405,85704000.00,53869000,31835000,MISMATCH,370840000.00,370840000,0,MATCH,MISMATCH
2744074,2744074,157971000.00,130536000,27435000,MISMATCH,45874000.00,43811000,2063000,MISMATCH,MISMATCH
2744325,2744325,7819000000.00,-6906000000,14725000000,MISMATCH,90375000000.00,90375000000,0,MATCH,MISMATCH
2744891,2744891,1697000.00,1697000,0,MATCH,1620000.00,1530000,90000,MISMATCH,MISMATCH
2746231,2746231,9703000.00,20621000,10918000,MISMATCH,6596000.00,5519000,1077000,MISMATCH,MISMATCH
2746371,2746371,796000.00,796000,0,MATCH,2684000.00,2527000,157000,MISMATCH,MISMATCH
2746390,2746390,956000.00,1400000,444000,MISMATCH,575000.00,575000,0,MATCH,MISMATCH
2746853,2746853,133481000.00,110247000,23234000,MISMATCH,132170000.00,113380000,18790000,MISMATCH,MISMATCH
2747122,2747122,6506000.00,5975000,531000,MISMATCH,6996000.00,6996000,0,MATCH,MISMATCH
2747325,2747325,7437000.00,7437000,0,MATCH,5038000.00,4689000,349000,MISMATCH,MISMATCH
2747379,2747379,97333000.00,102577000,5244000,MISMATCH,67847000.00,67847000,0,MATCH,MISMATCH
2747713,2747713,31965000.00,31965000,0,MATCH,15906000.00,15853000,53000,MISMATCH,MISMATCH
2748203,2748203,18213000.00,18213000,0,MATCH,8682000.00,7401000,1281000,MISMATCH,MISMATCH
2748210,2748210,93500000.00,124900000,31400000,MISMATCH,712500000.00,688500000,24000000,MISMATCH,MISMATCH
2748403,2748403,2250000.00,2250000,0,MATCH,3829000.00,3690000,139000,MISMATCH,MISMATCH
2748411,2748411,655100.00,655100,0,MATCH,6609000.00,6579000,30000,MISMATCH,MISMATCH
2748587,2748587,3444997084.38,2974029865.57562,470967218.80437994,MISMATCH,71496421957.17,71496421957.1652,0.004791259765625,MATCH,MISMATCH
2748907,2748907,56259000.00,52965000,3294000,MISMATCH,23093000.00,22877000,216000,MISMATCH,MISMATCH
2749072,2749072,19975000.00,14152000,5823000,MISMATCH,160564000.00,146924000,13640000,MISMATCH,MISMATCH
2749091,2749091,88930000.00,88930000,0,MATCH,192682000.00,179702000,12980000,MISMATCH,MISMATCH
2749768,2749768,54826000.00,54826000,0,MATCH,15764000.00,13012000,2752000,MISMATCH,MISMATCH
2750606,2750606,184857000.00,184857000,0,MATCH,168929000.00,157930000,10999000,MISMATCH,MISMATCH
2750754,2750754,21166000.00,20902000,264000,MISMATCH,5045000.00,4478000,567000,MISMATCH,MISMATCH
2751091,2751091,51785000.00,51785000,0,MATCH,8942000.00,13832000,4890000,MISMATCH,MISMATCH
2751165,2751165,27088000.00,27088000,0,MATCH,8582000.00,10223000,1641000,MISMATCH,MISMATCH
2751200,2751200,5188000.00,4682000,506000,MISMATCH,4564000.00,4564000,0,MATCH,MISMATCH
2751775,2751775,901000.00,853000,48000,MISMATCH,1526000.00,1458000,68000,MISMATCH,MISMATCH
2751877,2751877,45549000.00,34543000,11006000,MISMATCH,167125000.00,145685000,21440000,MISMATCH,MISMATCH
2752047,2752047,6368000.00,15503000,9135000,MISMATCH,259133000.00,259133000,0,MATCH,MISMATCH
